City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lycksele,64.5954,18.6735,-2.07,86,100,3.6,SE,1699026741
1,adamstown,-25.066,-130.1015,22.61,81,99,4.78,PN,1699026742
2,west island,-12.1568,96.8225,25.99,73,40,6.17,CC,1699026742
3,albany,42.6001,-73.9662,11.44,48,28,0.89,US,1699026743
4,jamestown,42.097,-79.2353,11.68,32,0,6.69,US,1699026597
5,myeik,12.4333,98.6,26.73,83,89,1.44,MM,1699026744
6,stanley,54.868,-1.6985,9.88,82,20,5.66,GB,1699026744
7,rio grande,-32.035,-52.0986,19.06,94,100,10.14,BR,1699026745
8,kailua-kona,19.6406,-155.9956,24.77,79,0,3.13,US,1699026727
9,port-aux-francais,-49.35,70.2167,1.92,66,40,14.98,TF,1699026746
10,dehloran,32.6941,47.2679,24.54,45,3,2.9,IR,1699026746
11,bethel,41.3712,-73.414,11.92,52,0,4.12,US,1699026747
12,edinburgh of the seven seas,-37.0676,-12.3116,13.1,71,100,12.25,SH,1699026747
13,blackmans bay,-43.0167,147.3167,7.07,78,20,0.45,AU,1699026748
14,sandnessjoen,66.0217,12.6316,4.12,52,0,3.09,NO,1699026450
15,port mathurin,-19.6833,63.4167,26.05,73,75,3.09,MU,1699026749
16,invercargill,-46.4,168.35,11.12,91,83,1.79,NZ,1699026749
17,leitchfield,37.48,-86.2939,13.29,44,2,3.58,US,1699026750
18,ancud,-41.8697,-73.8203,10.55,73,92,3.73,CL,1699026501
19,avarua,-21.2078,-159.775,22.03,73,20,4.63,CK,1699026651
20,grytviken,-54.2811,-36.5092,4.43,82,100,5.97,GS,1699026751
21,karungdong,5.8844,121.263,27.49,78,65,1.8,PH,1699026751
22,tiksi,71.6872,128.8694,-19.35,97,100,2.92,RU,1699026752
23,villa gesell,-37.2639,-56.973,13.92,81,100,8.37,AR,1699026752
24,trincomalee,8.5711,81.2335,26.5,85,100,4.45,LK,1699026753
25,tres lagoas,-20.7511,-51.6783,36.33,29,43,6.6,BR,1699026753
26,udachny,66.4167,112.4,-23.64,76,100,2.28,RU,1699026754
27,praia da vitoria,38.7333,-27.0667,25.14,61,20,7.6,PT,1699026754
28,balykshi,47.0667,51.8667,11.0,71,0,3.0,KZ,1699026754
29,chonchi,-42.6128,-73.8092,11.73,76,100,1.74,CL,1699026755
30,saipan,15.1355,145.701,28.39,78,20,5.66,MP,1699026755
31,utrik,11.2278,169.8474,27.77,71,55,7.23,MH,1699026756
32,bamboo flat,11.7,92.7167,29.05,79,40,2.06,IN,1699026756
33,kapa'a,22.0752,-159.319,22.99,88,0,3.6,US,1699026757
34,badger,64.8,-147.5333,-4.07,61,100,4.63,US,1699026758
35,altai,46.3722,96.2583,-11.91,91,86,5.52,MN,1699026758
36,ceeldheer,3.8488,47.1806,27.46,77,17,4.54,SO,1699026758
37,tazovsky,67.4667,78.7,-8.4,93,100,10.78,RU,1699026759
38,san antonio de pale,-1.4014,5.6325,25.17,85,100,1.54,GQ,1699026759
39,arraial do cabo,-22.9661,-42.0278,29.98,69,0,10.29,BR,1699026760
40,bardai,11.65,7.2333,32.45,21,85,2.98,NG,1699026760
41,prince rupert,54.3161,-130.3201,9.83,85,100,9.26,CA,1699026614
42,ushuaia,-54.8,-68.3,8.79,54,40,8.05,AR,1699026540
43,waitangi,-43.9535,-176.5597,14.34,98,100,5.36,NZ,1699026762
44,tsiombe,-25.3,45.4833,20.25,60,100,5.57,MG,1699026762
45,kas,36.2018,29.6377,20.86,88,8,1.07,TR,1699026762
46,ulladulla,-35.35,150.4667,15.43,88,100,2.49,AU,1699026763
47,white hall,34.274,-92.091,15.48,45,0,2.06,US,1699026763
48,mount pearl,47.5166,-52.7813,7.47,67,75,6.69,CA,1699026658
49,bredasdorp,-34.5322,20.0403,21.24,60,75,6.71,ZA,1699026764
50,mount gambier,-37.8333,140.7667,10.38,65,85,4.77,AU,1699026765
51,olonkinbyen,70.9221,-8.7187,1.2,73,100,3.89,SJ,1699026765
52,talnakh,69.4865,88.3972,-11.55,75,100,8.31,RU,1699026766
53,kodiak,57.79,-152.4072,7.73,87,100,2.06,US,1699026764
54,pisco,-13.7,-76.2167,20.03,77,100,2.57,PE,1699026767
55,ribeira grande,38.5167,-28.7,22.22,88,40,9.26,PT,1699026768
56,viedma,-40.8135,-62.9967,19.64,25,0,7.76,AR,1699026400
57,ilulissat,69.2167,-51.1,-0.99,43,40,8.75,GL,1699026769
58,saucillo,28.0167,-105.2833,19.3,38,0,2.28,MX,1699026769
59,hammerfest,70.6634,23.6821,-0.75,86,75,6.69,NO,1699026770
60,newman,37.3138,-121.0208,15.13,38,6,0.35,US,1699026770
61,behror,27.8833,76.2833,25.04,28,0,1.27,IN,1699026770
62,nuuk,64.1835,-51.7216,1.34,69,40,7.72,GL,1699026771
63,hawaiian paradise park,19.5933,-154.9731,21.69,82,0,3.6,US,1699026771
64,sisimiut,66.9395,-53.6735,-4.98,81,61,3.56,GL,1699026772
65,emerald,-23.5333,148.1667,20.19,91,16,4.82,AU,1699026772
66,wailua homesteads,22.0669,-159.378,22.24,88,0,3.6,US,1699026772
67,south valley,35.0101,-106.6781,19.06,19,0,0.0,US,1699026773
68,al ghayzah,16.2079,52.176,26.97,69,82,4.63,YE,1699026774
69,san patricio,28.017,-97.5169,24.36,61,99,2.85,US,1699026774
70,cill airne,52.05,-9.5167,10.03,87,75,3.09,IE,1699026775
71,isangel,-19.55,169.2667,22.32,90,82,4.97,VU,1699026775
72,dudinka,69.4058,86.1778,-11.32,80,100,8.94,RU,1699026776
73,qaqortoq,60.7167,-46.0333,-0.42,72,64,1.73,GL,1699026776
74,iqaluit,63.7506,-68.5145,-3.15,63,75,6.71,CA,1699026526
75,mendi,-6.1761,143.6513,13.39,99,100,1.18,PG,1699026777
76,ust-nera,64.5667,143.2,-17.38,100,96,0.65,RU,1699026777
77,college,64.8569,-147.8028,-4.03,60,100,4.63,US,1699026778
78,inirida,3.8653,-67.9239,33.23,53,90,0.76,CO,1699026778
79,warwick,41.7001,-71.4162,12.65,56,20,4.92,US,1699026771
80,margaret river,-33.95,115.0667,18.52,61,97,5.8,AU,1699026779
81,vorkuta,67.5,64.0,-8.94,95,100,4.0,RU,1699026779
82,molteno,-31.3968,26.3625,16.17,75,100,11.25,ZA,1699026779
83,ujae,8.9322,165.7642,28.51,75,99,8.94,MH,1699026780
84,gamba,-2.65,10.0,25.84,78,98,2.18,GA,1699026781
85,ola,59.5833,151.2833,-2.4,73,78,7.35,RU,1699026770
86,yuzhno-kurilsk,44.0306,145.8556,14.1,85,86,6.27,RU,1699026781
87,isafjordur,66.0755,-23.124,3.02,65,75,5.14,IS,1699026782
88,yellowknife,62.456,-114.3525,-7.71,93,100,4.12,CA,1699026590
89,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,64,75,6.26,RU,1699026757
90,port lincoln,-34.7333,135.8667,12.31,79,7,7.22,AU,1699026783
91,acarau,-2.8856,-40.12,32.07,53,10,8.12,BR,1699026784
92,puerto ayora,-0.7393,-90.3518,27.98,86,79,3.58,EC,1699026785
93,vilyuysk,63.7553,121.6247,-26.08,100,97,0.54,RU,1699026785
94,la passe,45.5549,-0.8967,12.77,72,87,11.54,FR,1699026786
95,porbandar,21.6422,69.6093,28.2,53,4,4.56,IN,1699026786
96,puerto natales,-51.7236,-72.4875,11.25,54,75,8.23,CL,1699026759
97,plettenberg bay,-34.0527,23.3716,20.32,61,100,2.91,ZA,1699026787
98,ulety,51.3572,112.4849,-9.22,62,100,0.72,RU,1699026788
99,nar'yan-mar,67.6713,53.087,-4.38,95,100,4.92,RU,1699026789
100,talcahuano,-36.7167,-73.1167,16.82,55,0,4.63,CL,1699026790
101,gorontalo,0.5412,123.0595,24.61,94,98,1.18,ID,1699026790
102,dubbo,-32.25,148.6167,17.07,77,26,5.66,AU,1699026791
103,gemena,3.25,19.7667,23.7,95,66,0.96,CD,1699026791
